Ludwigshafen (Rheinland-Pfalz, Germany);tgn,7012586;is:pleiades:109123
Luzarches (France);tgn,1034154;is:pleiades:109127
La Madeleine (France);tgn,7009259;is:pleiades:109131
Marsal (France);tgn,1034294;is:pleiades:109144
Martelange (Belgium);tgn,1026593;is:pleiades:109146
Maubeuge (France);tgn,7009331;is:pleiades:109148
Mayen (Rheinland-Pfalz, Germany);tgn,7012596;is:pleiades:109150
Moenus (Germany);tgn,7012591;is:pleiades:109168
Morienval (France);tgn,7010579;is:pleiades:109176
Moyenneville (France);tgn,1034587;is:pleiades:109184
Les Mureaux (France);tgn,1034002;is:pleiades:109185
Mutterstadt (Rheinland-Pfalz, Germany);tgn,1040384;is:pleiades:109186
Namur (Belgium);tgn,7003466;is:pleiades:109188
Namurcum (Belgium);tgn,7007960;is:pleiades:109188
Nennig (Saarland, Germany);tgn,5001900;is:pleiades:109198
Nimy (Belgium);tgn,1026639;is:pleiades:109211
Nomeny (France);tgn,1034689;is:pleiades:109213
Ouarville (France);tgn,1034769;is:pleiades:109234
Palaiseau (France);tgn,7009423;is:pleiades:109239
Perthes (France);tgn,1034832;is:pleiades:109246
Pierrefonds (France);tgn,7010581;is:pleiades:109247
Plailly (France);tgn,1034872;is:pleiades:109250
Ploegsteert (Belgium);tgn,1026679;is:pleiades:109251
Pont-sur-Yonne (France);tgn,1034931;is:pleiades:109258
Pont (Italy);tgn,1046083;is:pleiades:109258,is:pleiades:109257
Port (Irish Republic);tgn,4008835;is:pleiades:109259
Reichshoffen (France);tgn,7009463;is:pleiades:109274
Rheinberg (North Rhine-Westphalia, Germany);tgn,1040891;is:pleiades:109276
Ribemont (France);tgn,1035081;is:pleiades:109278
Riegel (Baden-Wurttemberg, Germany);tgn,1040912;is:pleiades:109280
Roye (France);tgn,1035171;is:pleiades:109290
Rumst (Belgium);tgn,1026707;is:pleiades:109292
Russelsheim (Hesse, Germany);tgn,7012664;is:pleiades:109294
Saarbrucken (Saarland, Germany);tgn,7004454;is:pleiades:109298
Sains-du-Nord (France);tgn,1035218;is:pleiades:109302
Sarre-Union (France);tgn,1035629;is:pleiades:109323
Sasbach (Baden-Wurttemberg, Germany);tgn,1041038;is:pleiades:109324
Savonnieres (France);tgn,1035662;is:pleiades:109327
Sceaux (France);tgn,7007998;is:pleiades:109330,is:pleiades:109331
Seclin (France);tgn,1035674;is:pleiades:109334
Septeuil (France);tgn,1035700;is:pleiades:109339
Sinceny (France);tgn,4010463;is:pleiades:109346
Songeons (France);tgn,1035759;is:pleiades:109349
Stein (Netherlands);tgn,7006861;is:pleiades:109352
Taverny (France);tgn,1035828;is:pleiades:109368
Theux (Belgium);tgn,7008011;is:pleiades:109375
le Thillay (France);tgn,1033941;is:pleiades:109376
Tienen (Belgium);tgn,7008014;is:pleiades:109379
Trebur (Hesse, Germany);tgn,1041445;is:pleiades:109388
Isola di Lampedusa (Italy);tgn,1007796;is:pleiades:1094
Lampedusa (Italy);tgn,1045007;is:pleiades:1094
Velzeke (Belgium);tgn,7008821;is:pleiades:109413
Verneuil-en-Halatte (France);tgn,4011729;is:pleiades:109418
Verneuil (France);tgn,1036064;is:pleiades:109418
Vireux (France);tgn,1036211;is:pleiades:109434
Vittel (France);tgn,1036226;is:pleiades:109440
Waasmunster (Belgium);tgn,1026791;is:pleiades:109447
Waghausel (Baden-Wurttemberg, Germany);tgn,7012750;is:pleiades:109450
Wasserbillig (Luxembourg);tgn,1047580;is:pleiades:109454
Weissenthurm (Rheinland-Pfalz, Germany);tgn,1041727;is:pleiades:109455
Welschbillig (Rheinland-Pfalz, Germany);tgn,1041735;is:pleiades:109456
Wenduine (Belgium);tgn,1026804;is:pleiades:109457
Wesseling (North Rhine-Westphalia, Germany);tgn,1041769;is:pleiades:109459
Wittlich (Rheinland-Pfalz, Germany);tgn,1041861;is:pleiades:109465
Portugal (Portugal);tgn,1000090;is:pleiades:1101,is:pleiades:981529,is:pleiades:991319
Aalen (Baden-Wurttemberg, Germany);tgn,7005985;is:pleiades:118537
Aislingen (Bavaria, Germany);tgn,1038135;is:pleiades:118549
Amoneburg (Hesse, Germany);tgn,7005958;is:pleiades:118564
Arnsburg (Hesse, Germany);tgn,4000844;is:pleiades:118575
Bad Abbach (Bavaria, Germany);tgn,1038306;is:pleiades:118584
Bad Nauheim (Hesse, Germany);tgn,7012373;is:pleiades:118588
Bautzen (Saxony, Germany);tgn,7012305;is:pleiades:118591
Berching (Bavaria, Germany);tgn,1038471;is:pleiades:118595
Bergtheim (Bavaria, Germany);tgn,1038485;is:pleiades:118596
Biebelried (Bavaria, Germany);tgn,1038516;is:pleiades:118597
Bilzingsleben (Saxony-Anhalt, Germany);tgn,7012308;is:pleiades:118598
Bobingen (Baden-Wurttemberg, Germany);tgn,1038268;is:pleiades:118601
Burladingen (Baden-Wurttemberg, Germany);tgn,1038704;is:pleiades:118618
Chlum (Czech Republic);tgn,7011434;is:pleiades:118631
Deggingen (Baden-Wurttemberg, Germany);tgn,1038780;is:pleiades:118640
Dessau (Saxony-Anhalt, Germany);tgn,7012804;is:pleiades:118641
Eching (Bavaria, Germany);tgn,1038891;is:pleiades:118658
Eggenburg (Niederosterreich, Austria);tgn,1025500;is:pleiades:118659
Eislingen (Baden-Wurttemberg, Germany);tgn,1038938;is:pleiades:118663
Erding (Bavaria, Germany);tgn,7004652;is:pleiades:118667
Essingen (Baden-Wurttemberg, Germany);tgn,4003717;is:pleiades:118669
Freystadt (Bavaria, Germany);tgn,7004607;is:pleiades:118680
Friedberg (Hesse, Germany);tgn,7012315;is:pleiades:118681
Gera (Thuringia, Germany);tgn,7003724;is:pleiades:118694
Gera (Thuringia, Germany);tgn,7012815;is:pleiades:118694
Grossbodungen (Thuringia, Germany);tgn,1036860;is:pleiades:118709
Gunzenhausen (Bavaria, Germany);tgn,7012907;is:pleiades:118717
Hanau (Hesse, Germany);tgn,7005295;is:pleiades:118726
Heidelberg (Baden-Wurttemberg, Germany);tgn,7005177;is:pleiades:118731
Heilbronn (Baden-Wurttemberg, Germany);tgn,7012495;is:pleiades:118734
Hirschaid (Bavaria, Germany);tgn,1039619;is:pleiades:118743
Jagsthausen (Baden-Wurttemberg, Germany);tgn,7005979;is:pleiades:118769
Kadan (Czech Republic);tgn,7011508;is:pleiades:118773
Kelheim (Bavaria, Germany);tgn,7004419;is:pleiades:118779
Kolin (Czech Republic);tgn,7011624;is:pleiades:118787
Kuttenberg (Czech Republic);tgn,7011655;is:pleiades:118793
Lauchheim (Baden-Wurttemberg, Germany);tgn,7012564;is:pleiades:118800
Lauriacum (Oberosterreich, Austria);tgn,7003295;is:pleiades:118802
Leuna (Saxony-Anhalt, Germany);tgn,7012837;is:pleiades:118804
Libochovice (Czech Republic);tgn,1027333;is:pleiades:118805
Leitmeritz (Czech Republic);tgn,7011695;is:pleiades:118808
Lorch (Baden-Wurttemberg, Germany);tgn,1040158;is:pleiades:118814
Lovosice (Czech Republic);tgn,7011702;is:pleiades:118816
